"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57560974";"01";"5755580";"";"";"55731";"LATO SENSU";"";"Caicó";"2015";"2";"2015-11-14";"2015-11-21";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-02-29 16:58:56.653";"f";"";"20";"CONSOLIDADA";"";"Presencial";
"57560975";"01";"5756402";"";"";"55770";"LATO SENSU";"";"Caicó";"2015";"2";"2015-08-08";"2015-08-15";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-09-26 00:28:07.764";"f";"";"20";"CONSOLIDADA";"";"Presencial";
"57560976";"01";"22193";"";"";"55743";"LATO SENSU";"";"Caicó";"2015";"2";"2015-09-12";"2015-09-19";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-01-07 16:54:55.815";"f";"";"20";"CONSOLIDADA";"";"Presencial";
"57560977";"01";"5755386";"";"";"55734";"LATO SENSU";"";"Caicó";"2015";"2";"2015-10-10";"2015-10-17";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-01-29 17:20:44.777";"f";"";"20";"CONSOLIDADA";"";"Presencial";
"57560982";"01";"5755973";"";"";"55735";"LATO SENSU";"";"Currais Novos";"2015";"2";"2015-11-07";"2015-11-21";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-01-27 16:44:08.695";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"57560983";"01";"";"107710909";"";"55730";"LATO SENSU";"";"Currais Novos";"2015";"2";"2015-08-08";"2015-08-15";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-07-12 10:05:36.139";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57560984";"02";"5755386";"";"";"55734";"LATO SENSU";"";"Currais Novos";"2015";"2";"2015-09-12";"2015-09-19";"7M12345  7T12345";"";"60";"REGULAR";"f";"2016-01-29 17:30:01.226";"f";"";"20";"CONSOLIDADA";"";"Presencial";
"57560985";"02";"22193";"";"";"55743";"LATO SENSU";"";"Currais Novos";"2015";"2";"2015-10-10";"2015-10-17";"7M12345  7T12345";"";"60";"REGULAR";"f";"2015-12-24 15:36:00.057";"f";"";"20";"CONSOLIDADA";"";"Presencial";
"57561881";"01";"";"110869617";"";"58689";"TÉCNICO";"";"ESCOLA AGRÍCOLA DE JUNDIAÍ - EAJ";"2015";"2";"2015-08-28";"2015-09-15";"36N234";"";"40";"REGULAR";"f";"2015-10-29 11:16:45.103";"f";"";"18";"CONSOLIDADA";"";"Presencial";
"57561887";"01";"";"105135549";"";"58805";"TÉCNICO";"";"ESCOLA AGRÍCOLA DE JUNDIAÍ - EAJ";"2015";"2";"2015-08-13";"2015-10-22";"35N234";"";"40";"REGULAR";"f";"2015-12-11 20:31:45.326";"f";"";"60";"CONSOLIDADA";"";"Presencial";
